koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq,kepid,Target
-0.27327627674902377,-0.5475150901700196,-0.03544120570078577,0.16081685997364706,-0.3647994530880653,-0.0589644029174604,-0.8769769532433781,0.052496526645823424,0.4068414719637534,0.48766654825695355,8554498,0.5
-0.27327627674902377,-0.5475150901700196,-0.03544120570078577,0.16081685997364706,-0.3647994530880653,-0.0589644029174604,-0.8769769532433781,0.052496526645823424,0.4068414719637534,0.48766654825695355,8554498,0.5
-0.270835122054571,-0.6034763777232541,-0.014678825114800313,-0.29208697792246824,-0.4003822376189967,-0.04769331160264106,-1.5144687807680404,0.17540621116249133,-0.400459455702724,1.2167873809139629,7051180,0.5
-0.265665242086476,2.1871617766054445,-0.04277943850852176,0.05879403934692021,0.9067306772628063,-0.04836044784868955,-1.543208166435135,0.1894475366237069,0.3636159104823987,-0.6060147007285605,7199397,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.2846640716849264,-0.5055697321717594,-0.04289865395048668,-0.31559096950989135,-0.14307667999130474,-0.08147147311309653,0.664499187082653,-0.1486983559902244,-0.9115381532175649,-0.7430480487101969,10187017,0.5
-0.26486387873913475,-0.03751280085783945,-0.032136292842585,-0.16836816506119692,-0.2995753780895827,-0.024729779764971736,-1.7861866088933056,0.30100875261692656,1.2980508425058017,0.6647756866860498,4055765,0.5
-0.28525966230671435,-0.35841100773341855,-0.03842299951460558,-0.3197235394593284,-0.38170781219309957,-0.08210349692514247,-0.022633397503356363,-0.0821463202425451,0.205969745079811,0.2691888519466086,9579641,0.5
-0.28525966230671435,-0.35841100773341855,-0.03842299951460558,-0.3197235394593284,-0.38170781219309957,-0.08210349692514247,-0.022633397503356363,-0.0821463202425451,0.205969745079811,0.2691888519466086,9579641,0.5
-0.28525966230671435,-0.35841100773341855,-0.03842299951460558,-0.3197235394593284,-0.38170781219309957,-0.08210349692514247,-0.022633397503356363,-0.0821463202425451,0.205969745079811,0.2691888519466086,9579641,0.5
-0.28276354967934986,-0.4635731588401679,-0.04246876706777665,-0.30706754398917746,-0.16652771592039275,-0.07557258420066772,-0.37011869693278326,-0.04810091467220048,0.06739368033076211,-0.4159778879615739,11869052,0.5
-0.28555617952614526,-0.8843924810449361,0.027369846803058685,-0.3309589640093603,-0.4139134004392366,-0.08147147311309653,-0.9109416817590349,0.05422764896295962,0.3025915883910745,1.879977074447732,5897826,0.5
-0.28555617952614526,-0.8843924810449361,0.027369846803058685,-0.3309589640093603,-0.4139134004392366,-0.08147147311309653,-0.9109416817590349,0.05422764896295962,0.3025915883910745,1.879977074447732,5897826,0.5
-0.1102684915498068,0.03096551416154263,-0.04235636817065994,1.484272386280858,0.005124682852291182,-0.006962888159680189,-0.9318430531532862,0.05230417972169721,0.6509387603290505,-0.3694382603451691,5297298,0.5
-0.25223633508405974,-0.6564159606099472,-0.039781121982732925,0.1353757262224253,-0.3919161481302212,-0.06609222701997855,0.4345841017458891,-0.11830754197827836,-0.3521485340470923,0.12956996909739402,12105051,0.5
-0.2567991216071992,-0.2634065644040257,-0.04206125623445966,-0.11128704263459786,-0.14004181834890314,-0.057279006085337876,-0.0984008688075192,-0.03482897690748987,1.7175930568836562,-0.2698951679434143,4649305,0.5
-0.26131461874620526,1.7929744277329052,-0.04229220373763222,-0.21976700380732006,0.8700370346991584,0.052903811814671776,-3.3485641206135868,1.0780903260869392,-0.7246511668128843,-0.3448756791031776,9904059,0.5
-0.26730247725066136,-0.3733658850661316,-0.04209259752218567,-0.19497158411069784,-0.2557984048565501,-0.06563576537794537,0.14980291649921595,-0.09099427875235219,0.8378257467337311,-0.27894453997993746,2307199,0.5
-0.27711182922967964,-0.3206823788460945,-0.04178748304734942,-0.24262528134014366,-0.25213977814827115,-0.07055150613830272,-0.14542895444458398,-0.0646427501470572,0.9636884110470875,-0.19620742421743995,6631721,0.5
-0.035689298497080524,-0.30465197951342604,-0.03976971167940005,-0.1717258781451145,-0.3811606051307134,-0.03888009066800038,0.44764745886729584,-0.12234682738492941,0.36870127065667574,0.13215550396497205,5376836,0.5
-0.2831597580328998,-0.6364931959441069,-0.022689673076145687,-0.2915704066787886,-0.41600839306287957,-0.07982118871497657,0.3562039590174463,-0.12061570506779325,-0.24789865047441334,1.011237358941508,5972334,0.5
-0.2831597580328998,-0.6364931959441069,-0.022689673076145687,-0.2915704066787886,-0.41600839306287957,-0.07982118871497657,0.3562039590174463,-0.12061570506779325,-0.24789865047441334,1.011237358941508,5972334,0.5
-0.2831597580328998,-0.6364931959441069,-0.022689673076145687,-0.2915704066787886,-0.41600839306287957,-0.07982118871497657,0.3562039590174463,-0.12061570506779325,-0.24789865047441334,1.011237358941508,5972334,0.5
-0.2831597580328998,-0.6364931959441069,-0.022689673076145687,-0.2915704066787886,-0.41600839306287957,-0.07982118871497657,0.3562039590174463,-0.12061570506779325,-0.24789865047441334,1.011237358941508,5972334,0.5
-0.1872709460165029,-0.06576659307888977,-0.042948073900636215,-0.08545848045061638,1.1350511334983755,-0.04495454175044196,-0.27083718281009156,-0.045023363886180626,0.260637366953289,-0.8412983736781627,10656508,0.5
-0.22266002053728945,-0.2844731381809297,-0.04092733881753544,0.1742477123093174,-0.35328447866324714,-0.06082536191959568,0.3901686875331043,-0.11042131808910251,0.6216979393269577,-0.02685489039107785,6300348,0.5
-0.2822254731733998,1.5109486588557135,-0.04298563899018016,-0.31417039858977236,4.140175877625618,-0.07715264373078258,-0.1924570400816487,-0.057333567030260046,0.5962711384555726,-0.9925521634314785,7219825,0.5
-0.2822254731733998,1.5109486588557135,-0.04298563899018016,-0.31417039858977236,4.140175877625618,-0.07715264373078258,-0.1924570400816487,-0.057333567030260046,0.5962711384555726,-0.9925521634314785,7219825,0.5
-0.2822254731733998,1.5109486588557135,-0.04298563899018016,-0.31417039858977236,4.140175877625618,-0.07715264373078258,-0.1924570400816487,-0.057333567030260046,0.5962711384555726,-0.9925521634314785,7219825,0.5
-0.28324922443531425,-0.4507693255073656,-0.04295570546715106,-0.318819539782889,-0.2538360631091196,-0.08140124824509143,1.0407238721791756,-0.1929381485392598,-2.335439002015131,-0.861982652618787,7021681,0.5
-0.28324922443531425,-0.4507693255073656,-0.04295570546715106,-0.318819539782889,-0.2538360631091196,-0.08140124824509143,1.0407238721791756,-0.1929381485392598,-2.335439002015131,-0.861982652618787,7021681,0.5
-0.28324922443531425,-0.4507693255073656,-0.04295570546715106,-0.318819539782889,-0.2538360631091196,-0.08140124824509143,1.0407238721791756,-0.1929381485392598,-2.335439002015131,-0.861982652618787,7021681,0.5
-0.28431770889843594,-0.3828236499546282,-0.04280759380246003,-0.3115875423713742,0.17554440388565093,-0.07792511727883875,-0.19768238293021095,-0.042715200796665735,0.4220975524865845,-0.6318700494043409,7375348,0.5
-0.28431770889843594,-0.3828236499546282,-0.04280759380246003,-0.3115875423713742,0.17554440388565093,-0.07792511727883875,-0.19768238293021095,-0.042715200796665735,0.4220975524865845,-0.6318700494043409,7375348,0.5
-0.27929608754005647,1.1913649788689689,-0.04291147201851647,-0.19032244291758116,0.9632836096997126,-0.07343072572651202,-0.27606252565865375,-0.02982795688020761,0.9217341896093021,-0.7637323276508213,3425851,0.5
-0.2824670324599189,-0.15303752107527002,-0.04295570546715106,-0.30138526030870155,0.296785611507473,-0.07834646648686935,0.5051262302014874,-0.1392733567080386,-0.46656913796832533,-0.861982652618787,12785320,0.5
-0.2824670324599189,-0.15303752107527002,-0.04295570546715106,-0.30138526030870155,0.296785611507473,-0.07834646648686935,0.5051262302014874,-0.1392733567080386,-0.46656913796832533,-0.861982652618787,12785320,0.5
-0.28520981673965484,-0.5842706277240507,-0.041453916907059775,-0.32424353784152515,-0.3555194600074682,-0.08241950883116544,0.49728821592864286,-0.1217697866125507,0.19071366455697994,-0.1225196804914656,6029239,0.5
-0.28520981673965484,-0.5842706277240507,-0.041453916907059775,-0.32424353784152515,-0.3555194600074682,-0.08241950883116544,0.49728821592864286,-0.1217697866125507,0.19071366455697994,-0.1225196804914656,6029239,0.5
-0.28491968997753925,0.05984754780478913,-0.041247864611158945,-0.3148161126443719,-0.280213700926646,-0.08055854982903017,-0.21335841147589998,-0.02136469221865301,0.9141061493478865,-0.08244389004400586,8121310,0.5
-0.28491968997753925,0.05984754780478913,-0.041247864611158945,-0.3148161126443719,-0.280213700926646,-0.08055854982903017,-0.21335841147589998,-0.02136469221865301,0.9141061493478865,-0.08244389004400586,8121310,0.5
-0.2623294233678783,0.18954184357718756,-0.04257079296186347,0.03838947522157482,0.1555126678028859,-0.048852021924725285,-1.0990540243072964,0.08634958529204183,0.33056106934959806,-0.46639581787934586,8684730,0.5
