kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,Target
11599038,FALSE POSITIVE,17.4217322,4.718,208.4,9.3,1.42,727.0,65.92,6052.0,4.456,0.967,0.0
5308387,FALSE POSITIVE,0.620739667,2.477,108.2,30.8,29.28,2947.0,17924.29,6559.0,4.133,1.602,0.0
6276791,CONFIRMED,9.32867952,1.572,354.4,12.7,1.62,806.0,99.6,5749.0,4.547,0.864,1.0
7681230,FALSE POSITIVE,0.962590772,1.2569,1021.6,90.4,31.51,2026.0,3989.37,6274.0,4.434,1.062,0.0
8167996,CONFIRMED,2.549562652,1.6999,495.1,43.7,1.11,682.0,50.9,3716.0,4.74,0.506,1.0
11442793,CONFIRMED,210.6013843,11.9922,4159.3,232.4,7.7,342.0,3.22,5970.0,4.317,1.2,1.0
5175024,CONFIRMED,23.4772553,6.735,141.4,17.6,1.34,738.0,70.05,6384.0,4.361,1.121,1.0
9899233,FALSE POSITIVE,1.332547503,4.521,130.3,25.5,1.23,1719.0,2062.92,6077.0,4.471,0.999,0.0
7366258,CONFIRMED,2.382951591,1.8876,391.6,41.4,1.86,1253.0,583.01,5427.0,4.463,0.929,1.0
5301750,CONFIRMED,8.72585478,4.473,446.7,37.7,2.86,985.0,222.19,6036.0,4.326,1.131,1.0
6021275,CONFIRMED,6.17817366,3.2601,101.9,43.5,1.22,1082.0,324.69,5931.0,4.322,1.101,1.0
8164257,CONFIRMED,6.47539108,2.7048,530.6,28.1,1.92,793.0,93.41,4954.0,4.5,0.828,1.0
7825899,CONFIRMED,16.23947096,4.0374,2590.7,123.8,4.14,598.0,30.14,5191.0,4.564,0.837,1.0
3848665,FALSE POSITIVE,359.04147,14.04,3658.0,11.2,27.1,181.0,0.25,4596.0,4.59,0.696,0.0
7445445,CONFIRMED,29.02235217,4.0263,637.6,41.4,2.55,559.0,23.06,5788.0,4.524,0.848,1.0
4271474,CONFIRMED,21.8634638,3.542,871.0,9.9,2.37,551.0,21.77,5383.0,4.587,0.789,1.0
9471974,CONFIRMED,190.3200468,15.284,1141.7,139.3,7.78,426.0,7.8,5626.0,3.907,2.057,1.0
7281454,FALSE POSITIVE,0.566805887,5.2317,1.7,0.8,0.08,1554.0,1368.32,5000.0,4.708,0.549,0.0
4737267,FALSE POSITIVE,9.524076544,10.4891,198399.0,1942.5,151.0,1390.0,882.28,5180.0,3.428,3.371,0.0
11569475,FALSE POSITIVE,1.31723412,7.284,422.7,78.4,125.56,5471.0,211468.1,6740.0,2.816,12.08,0.0
12301181,CONFIRMED,6.14728341,2.7645,119.7,26.8,0.79,770.0,83.18,4997.0,4.598,0.746,1.0
4915638,CONFIRMED,8.63050092,3.144,325.8,14.9,1.43,739.0,70.63,5352.0,4.599,0.764,1.0
3342970,CONFIRMED,2.711504086,3.0099,837.5,64.5,3.12,1420.0,960.79,6214.0,4.442,1.076,1.0
10322797,FALSE POSITIVE,1.213742728,3.596,31.7,20.3,1.18,2599.0,10804.6,6532.0,3.961,1.987,0.0
9674608,FALSE POSITIVE,2.972047661,1.198,5945.0,20.0,24.74,881.0,142.01,4491.0,4.58,0.711,0.0
2860788,FALSE POSITIVE,2.629870555,6.606,101310.0,1026.0,34.05,1291.0,659.45,5566.0,4.382,0.967,0.0
10407430,FALSE POSITIVE,0.933759404,3.491,114.9,18.9,0.99,1763.0,2289.8,5766.0,4.514,0.866,0.0
10875245,CONFIRMED,14.74914825,6.0995,430.2,107.4,2.89,874.0,137.91,5847.0,4.191,1.402,1.0
9963524,CONFIRMED,18.36974658,2.939,1143.3,20.1,3.58,582.0,27.14,5244.0,4.538,0.81,1.0
6871071,CONFIRMED,3.2828024,3.2532,142.5,24.4,1.79,1467.0,1093.39,5640.0,4.087,1.515,1.0
9532421,FALSE POSITIVE,4.309067482,2.21,23647.0,82.0,101.41,882.0,142.6,4897.0,4.526,0.789,0.0
6198999,CONFIRMED,3.93246069,2.1763,455.5,30.6,1.65,894.0,151.31,4841.0,4.533,0.779,1.0
9466668,CONFIRMED,1.620467654,2.1888,159.6,22.7,1.57,1681.0,1893.42,5553.0,4.221,1.25,1.0
9020160,CONFIRMED,9.93962361,3.432,300.1,21.5,1.93,722.0,64.29,5105.0,4.469,0.868,1.0
5111801,FALSE POSITIVE,0.562006231,3.496,14.2,12.8,0.58,2978.0,18708.86,6609.0,4.17,1.455,0.0
8308347,FALSE POSITIVE,164.950399,30.86,24493.0,65.7,11.23,252.0,0.95,5001.0,4.603,0.664,0.0
4861527,FALSE POSITIVE,25.7054557,6.059,266.3,27.6,1.75,670.0,47.76,6326.0,4.459,1.001,0.0
5384713,FALSE POSITIVE,60.32668824,1.6864,3146.7,57.0,4.98,240.0,0.79,3705.0,4.721,0.529,0.0
7869917,CONFIRMED,11.8061737,4.472,88.1,10.1,2.87,1407.0,926.72,6900.0,3.843,2.599,1.0
8168187,CONFIRMED,18.3027235,8.262,186.7,24.7,2.72,902.0,156.71,5528.0,3.892,1.839,1.0
8017703,CONFIRMED,44.0003975,5.1115,599.6,43.3,1.56,377.0,4.79,4859.0,4.615,0.651,1.0
10337517,CONFIRMED,4.29263699,2.7,61.4,11.4,0.68,991.0,227.69,5357.0,4.498,0.863,1.0
8612847,CONFIRMED,14.13175309,4.0136,1033.0,40.1,3.02,675.0,49.18,5616.0,4.564,0.822,1.0
7040629,CONFIRMED,7.46662068,3.87,120.9,27.4,1.65,1141.0,401.08,5966.0,4.169,1.499,1.0
5780460,CONFIRMED,35.61760233,8.4559,4634.9,155.0,5.17,456.0,10.19,5123.0,4.523,0.779,1.0
6541920,CONFIRMED,46.6856205,6.3794,588.8,59.0,2.52,513.0,16.41,5657.0,4.364,1.046,1.0
10220837,CONFIRMED,1.962282625,1.45,68.3,12.9,0.81,1448.0,1038.36,5726.0,4.418,0.979,1.0
6614629,FALSE POSITIVE,0.526615152,1.0582,64.0,40.9,1.46,2959.0,18152.32,5718.0,3.966,1.832,0.0
4077526,CONFIRMED,15.573637,5.326,468.1,24.7,2.94,799.0,96.38,6100.0,4.376,1.083,1.0
9532710,FALSE POSITIVE,5.24242029,6.413,334.9,20.1,3.86,1367.0,825.0,5383.0,3.824,1.829,0.0
4037428,FALSE POSITIVE,4.264729569,2.2075,22672.0,201.6,29.95,1428.0,983.86,6052.0,4.084,1.417,0.0
5956342,CONFIRMED,43.1312147,3.198,447.8,11.8,2.39,554.0,22.21,5839.0,4.327,1.067,1.0
9661869,FALSE POSITIVE,20.427232317,3.46429,121813.0,526.6,601.32,749.0,74.27,6167.0,4.354,1.121,0.0
11027722,FALSE POSITIVE,0.678137665,1.00718,885.0,172.7,30.37,2274.0,6364.7,6429.0,4.449,0.942,0.0
7107802,CONFIRMED,10.41728722,4.125,210.4,20.3,1.64,870.0,135.34,5557.0,4.288,1.151,1.0
6634112,FALSE POSITIVE,9.942228056,2.45451,31067.9,1073.3,22.15,740.0,70.93,5268.0,4.475,0.843,0.0
3124412,FALSE POSITIVE,0.948950734,4.0245,2133.0,238.6,36.87,2103.0,4636.91,6307.0,4.391,1.133,0.0
4939346,CONFIRMED,34.9168399,7.343,500.0,15.4,2.39,602.0,31.13,6194.0,4.445,1.069,1.0
