koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
577.4,3.3613,23.4,27.5,33.0405509,2.36,4.415,0.971,5688.0,561.0
137.5,6.19,168.43,9.2,3.18740907,0.81,4.589,0.715,4808.0,919.0
72.2,4.124,11065.06,17.8,2.97606298,5.65,3.158,6.669,5321.0,2615.0
349.4,4.564,167.88,26.8,14.36270451,2.31,4.357,1.216,6643.0,918.0
494.1,3.1293,12.56,33.2,12.55111099,1.34,4.669,0.598,4213.0,480.0
66994.0,2.2033,2129.33,152.9,0.89627093,43.47,4.493,0.861,5551.0,1733.0
596.8,3.0999,1775.05,57.4,0.787122102,20.76,4.528,0.799,5210.0,1655.0
551.3,2.9557,18.22,51.8,30.86436512,2.23,4.563,0.828,5677.0,527.0
89.5,10.229,251.16,17.9,20.4853893,3.6,3.45,3.324,4938.0,1015.0
285.7,2.86,66.74,18.6,10.06478627,1.49,4.574,0.82,5438.0,729.0
121.4,1.6993,48.52,25.8,9.74048508,0.95,4.562,0.721,5051.0,673.0
140.8,7.702,237.46,14.2,9.705693,2.07,4.178,1.385,5808.0,1001.0
83.2,2.3316,88.79,26.8,6.18943952,0.65,4.562,0.721,5051.0,783.0
73.8,3.045,1249.87,8.8,2.42803503,0.85,4.484,0.974,6609.0,1516.0
1014.1,4.508,47.9,23.7,19.597317,3.78,4.368,1.019,5569.0,671.0
553.7,7.309,23.57,27.4,52.8148051,3.33,4.117,1.439,5565.0,562.0
59.5,1.934,516.85,13.9,2.005414293,0.65,4.555,0.721,5374.0,1216.0
55.7,3.37,2708.57,15.9,3.70429015,1.45,3.958,1.927,6732.0,1839.0
108504.0,3.6017,5846.79,185.1,1.012694226,42.51,4.292,1.233,6487.0,2230.0
157.9,3.585,1317.96,19.0,4.08897299,2.36,3.98,1.86,5897.0,1537.0
115.9,3.388,1718.04,19.9,2.090811305,1.62,4.191,1.384,5739.0,1642.0
634.5,10.767,3.39,17.9,175.13892,3.06,4.243,1.241,5497.0,346.0
7829.2,3.2917,1730.47,124.6,1.914158508,13.63,4.407,1.118,6289.0,1646.0
126.9,2.807,12.41,9.3,7.7333361,0.57,4.746,0.511,3780.0,479.0
416737.0,20.0614,7.33,1866.7,66.36099916,61.42,4.463,0.857,5583.0,420.0
336.8,4.4968,73.42,34.0,21.58752788,2.18,4.284,1.191,6038.0,747.0
156.7,10.67,126.12,13.0,7.1091096,1.08,4.568,0.82,5665.0,855.0
37.3,2.411,87591.59,31.0,0.624677585,1.28,4.191,1.996,9653.0,4391.0
426.1,1.9012,191.78,25.6,3.78402867,1.7,4.593,0.775,5196.0,949.0
21306.7,4.5707,2.34,413.8,208.86909724,29.95,4.421,0.987,5914.0,316.0
181820.0,4.39793,267.96,1564.3,4.726086185,41.38,4.547,0.863,5873.0,1032.0
4303.5,4.5866,102.12,85.0,11.32029599,8.02,4.438,1.0,5780.0,811.0
777.7,3.3812,87.41,78.9,10.68758211,2.64,4.524,0.848,5788.0,780.0
610.9,5.972,29.58,30.1,50.6985408,3.58,4.151,1.456,5876.0,595.0
1298.6,2.632,4055.29,132.7,3.849371737,12.94,3.657,2.992,6244.0,2034.0
210.2,3.4167,78.35,36.7,10.43547031,1.22,4.499,0.853,5528.0,759.0
2004.1,3.6641,144.83,71.6,10.31453308,29.6,4.455,0.837,6335.0,885.0
246.4,9.8,5.09,9.8,366.71923,3.35,3.907,2.049,6295.0,383.0
960.0,5.4921,42.95,122.8,22.687155,3.2,4.364,1.046,5657.0,653.0
123.3,3.128,6.17,30.0,68.958447,1.11,4.497,0.888,5455.0,402.0
731.0,7.648,427.26,31.6,1.8912501,23.5,4.523,0.794,4883.0,1159.0
131.0,3.313,429.42,27.3,3.51289168,1.12,4.395,0.981,5523.0,1161.0
224.7,2.4864,3155.32,40.2,0.824181335,18.2,4.514,0.883,5977.0,1912.0
1821.0,0.5532,18.03,111.4,1.213770423,0.78,5.215,0.148,3292.0,525.0
418.5,2.357,315.8,12.8,7.57571414,2.45,4.395,1.171,6418.0,1075.0
81.6,2.853,212.66,8.7,7.02932339,0.92,4.473,1.022,5977.0,974.0
634.1,2.4283,23.11,21.4,10.19849255,1.75,4.656,0.646,4500.0,559.0
172.8,15.26,0.99,9.9,601.13797,1.81,4.155,1.388,5786.0,254.0
748.1,5.1364,41.24,70.3,22.18332255,2.78,4.361,1.03,5565.0,646.0
147.6,4.296,831.95,13.4,0.93374073,0.84,4.585,0.717,4753.0,1371.0
165.6,2.394,646.81,15.6,3.74031708,1.38,4.433,1.063,6260.0,1287.0
172.8,2.647,478.98,16.1,4.17939037,1.52,4.296,1.162,5633.0,1194.0
3081.4,3.897,32.67,86.6,15.33528675,5.0,4.581,0.817,5251.0,610.0
741.6,1.6519,133.55,65.4,4.973455252,2.46,4.554,0.797,5097.0,867.0
164.3,3.33,152.86,8.6,9.27989,1.29,4.456,0.967,6052.0,897.0
926.0,3.6227,50.73,82.4,19.44639139,3.24,4.421,0.954,5815.0,681.0
236.5,3.2069,89.47,42.0,9.36059705,1.42,4.563,0.828,5677.0,784.0
266.2,2.4141,581.38,23.3,2.66831274,1.48,4.528,0.899,5806.0,1252.0
75.0,8.331,164.06,14.7,13.6471211,1.25,4.106,1.382,5771.0,913.0
1472.0,9.572,4503.26,52.5,4.15743922,96.99,3.657,3.131,6529.0,2089.0
185.0,1.821,544.05,14.1,2.76263737,1.25,4.528,0.901,5772.0,1231.0
880.9,4.5346,97.56,86.7,1.506507172,13.4,4.774,0.473,3755.0,801.0
61.9,2.746,195.3,13.9,5.24970432,0.67,4.499,0.853,5528.0,954.0
6472.7,7.1964,757.69,94.5,6.47173281,13.68,4.079,1.685,6318.0,1338.0
575.1,6.0875,81.57,74.4,22.71443351,4.01,4.16,1.495,5788.0,766.0
902.0,4.9381,18.7,39.3,36.9250409,3.01,4.532,0.887,5926.0,530.0
193.8,2.4382,33039.47,48.3,0.587470828,51.02,3.678,2.667,5787.0,3434.0
20280.4,6.6188,6.77,347.2,60.32494216,12.19,4.556,0.867,5485.0,411.0
140.4,2.381,1254.94,13.5,1.7592691,1.21,4.416,0.984,5784.0,1519.0
321.8,7.948,9.09,27.3,67.968656,1.71,4.387,0.95,5670.0,443.0
36.3,4.865,488.52,9.8,7.5143967,0.96,4.159,1.573,6206.0,1199.0
47.0,6.375,112.41,11.5,16.2580276,0.92,4.235,1.356,5867.0,830.0
186.9,1.9719,1153.1,32.2,1.09173174,1.07,4.587,0.788,5354.0,1488.0
478.4,21.328,132.4,57.0,25.9525478,74.69,3.715,2.721,5211.0,865.0
174.1,1.6663,257.32,20.2,3.13877646,0.97,4.556,0.722,5242.0,1022.0
983.0,3.651,0.39,13.0,63.3354719,1.18,4.866,0.383,3526.0,202.0
111620.0,6.48255,21.08,1701.1,36.514374043,33.27,4.465,1.0,5811.0,546.0
223.9,8.622,51.5,17.9,32.2753853,2.31,4.123,1.483,5726.0,683.0
950.1,5.03,7.08,17.8,103.4269873,3.16,4.454,1.024,6208.0,416.0
520.3,2.6215,295.82,33.6,6.77408984,2.5,4.433,1.092,6246.0,1058.0
280.1,2.6849,705.93,30.6,3.388012244,2.11,4.221,1.25,5553.0,1315.0
259.5,3.974,22.73,19.7,16.3012727,1.54,4.558,0.796,4873.0,557.0
201.0,2.307,60.7,9.4,10.6784787,1.12,4.583,0.797,5459.0,712.0
109.7,3.1381,716.65,27.7,4.59489816,1.85,4.217,1.381,6056.0,1319.0
114.3,1.498,7320.09,17.1,0.512583041,1.07,4.471,0.999,6077.0,2363.0
1056.0,2.455,7.33,16.0,8.07394097,1.59,4.869,0.398,3675.0,420.0
