,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,Target
1813,10122538,CONFIRMED,37.6333868,4.49,1661.7,18.6,2.25,299.0,1.88,3891.0,4.718,0.564,0.6060280648077804,0.18598329181961717,1.0
1814,8801343,FALSE POSITIVE,2.73987398,4.15886,20632.2,1454.3,34.83,2113.0,4705.3,6520.0,3.844,2.26,1.3006229315823448,0.04182779872641919,0.0
1815,5887316,FALSE POSITIVE,0.603086711,1.0869,1242.8,170.0,36.0,2459.0,8675.9,6353.0,4.397,1.134,1.169932047785266,0.014719764678845282,0.0
1816,9757613,CONFIRMED,12.282998287,2.7096,2794.7,137.2,2.83,431.0,8.14,3879.0,4.708,0.537,0.5368872617820369,0.08467556622364704,1.0
1817,8167996,CONFIRMED,5.21230171,2.098,430.0,29.3,1.04,537.0,19.7,3716.0,4.74,0.506,0.5131396365754453,0.04710051984078457,1.0
1818,3120904,CONFIRMED,42.9136635,5.227,160.6,18.2,3.19,810.0,101.56,6049.0,3.8,2.483,1.4186915032817589,0.2695383292986967,1.0
1819,7445445,CONFIRMED,29.02235217,4.0263,637.6,41.4,2.55,559.0,23.06,5788.0,4.524,0.848,0.8764481589654639,0.17687154309144476,1.0
1820,8266276,FALSE POSITIVE,0.837898153,2.104,268.9,13.9,1.26,1478.0,1128.57,4748.0,4.526,0.797,0.7777699709418802,0.015995777743701037,0.0
1821,5471489,FALSE POSITIVE,12.4252735,20.756,84.7,36.6,2.37,1299.0,673.53,6156.0,3.703,2.557,1.203361145214391,0.11166835404393811,0.0
1822,4644952,CONFIRMED,6.94135824,1.8899,825.0,43.1,2.96,876.0,139.05,5527.0,4.491,0.88,0.8747820699304826,0.06810679005766648,1.0
1823,7831264,CONFIRMED,13.07141889,3.0946,251.1,32.0,2.47,964.0,203.87,6122.0,4.173,1.439,1.124750296862666,0.11293485770784822,1.0
1824,9590976,CONFIRMED,3.88688862,3.683,58.3,20.8,1.29,1574.0,1448.04,6167.0,4.037,1.689,1.1329058718042588,0.05043439573414515,1.0
1825,8950568,CONFIRMED,17.9134215,4.364,197.8,11.4,1.39,626.0,36.38,5435.0,4.495,0.873,0.8688864328069521,0.12785003478666745,1.0
1826,10399321,FALSE POSITIVE,21.5819776,13.734,47.6,17.3,0.91,746.0,73.01,5601.0,4.144,1.342,0.9150389066033532,0.14727696536718105,0.0
1827,9458613,CONFIRMED,21.77568158,7.9588,797.9,117.3,4.76,853.0,125.14,5900.0,4.022,1.694,1.1009341429488013,0.15757806638153374,1.0
1828,5596440,FALSE POSITIVE,10.47490332,33.7939,1170.2,150.5,15.45,1567.0,1427.2,6526.0,3.616,3.232,1.5735379908269191,0.10897325124152483,0.0
1829,8008067,CONFIRMED,157.0659976,8.1289,551.4,50.9,2.63,350.0,3.53,5620.0,4.333,1.143,1.0257156677265413,0.5745457235071018,1.0
1830,11599937,FALSE POSITIVE,37.6259039,3.91,411.0,11.7,1.81,519.0,17.13,5874.0,4.542,0.871,0.9637643079631464,0.2170579628666466,0.0
1831,7891264,FALSE POSITIVE,25.166806,2.111,1350.0,7.2,2.72,483.0,12.84,5013.0,4.574,0.704,0.6777661063176128,0.14762939221398635,0.0
1832,7989422,FALSE POSITIVE,7.47763833,2.5693,110.0,26.2,2.05,1346.0,776.56,5957.0,3.849,1.953,0.9825146057206707,0.07439609224153777,0.0
1833,6444896,CONFIRMED,19.5352551,1.013,1732.0,5.9,0.53,161.0,0.16,2703.0,5.274,0.118,0.09543299270993846,0.06486937608038007,1.0
1834,8394721,CONFIRMED,27.40229859,6.8491,747.5,79.3,3.63,734.0,68.46,6198.0,4.237,1.324,1.1033428850699416,0.18380429033263526,1.0
1835,5792202,FALSE POSITIVE,269.306232,14.931,1708.0,18.1,24.0,235.0,0.72,5251.0,4.581,0.817,0.9276382366115216,0.7959478821031649,0.0
1836,7703910,FALSE POSITIVE,1.275511306,1.889,69.3,10.3,0.84,1739.0,2160.97,5921.0,4.418,1.015,0.9837089281997847,0.022891410914898488,0.0
1837,10670119,CONFIRMED,14.87149773,2.4076,944.9,27.3,1.59,391.0,5.51,3825.0,4.749,0.524,0.5618198798804579,0.09765541325943274,1.0
1838,11709244,CONFIRMED,4.544436472,1.8141,879.3,42.5,3.0,1017.0,253.48,5445.0,4.458,0.937,0.9192078199697961,0.05220579854547853,1.0
1839,3832474,CONFIRMED,143.2063047,8.9302,10565.7,138.8,8.9,308.0,2.14,5485.0,4.556,0.867,0.9862175429487574,0.5332036929558719,1.0
1840,11923819,FALSE POSITIVE,33.159475806,9.01353,222167.0,3733.6,146.47,1068.0,307.53,7967.0,4.001,2.379,2.068823366144805,0.25737936425557795,0.0
1841,5649836,FALSE POSITIVE,0.597933142,3.47133,284383.0,1490.3,63.46,2161.0,5169.99,5780.0,4.438,1.0,0.999849257871384,0.013889099061523882,0.0
1842,9285265,CONFIRMED,61.569765,9.75,298.3,10.9,2.44,530.0,18.66,5626.0,4.149,1.389,0.9916057126229485,0.30428846257904923,1.0
1843,7219825,CONFIRMED,17.23232894,4.5568,509.8,64.1,2.79,817.0,105.47,6086.0,4.274,1.216,1.0134484865592268,0.1311466975066349,1.0
1844,10068659,CONFIRMED,11.47685263,2.756,240.6,16.5,1.58,796.0,94.94,5550.0,4.384,1.032,0.9403595146972821,0.09755300676344825,1.0
1845,7769819,CONFIRMED,2.21571296,1.8211,285.1,22.1,1.7,1283.0,638.56,5417.0,4.447,0.901,0.8286747587833372,0.031241450116900306,1.0
1846,3330684,FALSE POSITIVE,1.26132769,1.244,109.7,9.9,0.14,447.0,9.46,2900.0,5.224,0.132,0.1064344918387933,0.010826969139104033,0.0
1847,9958962,CONFIRMED,51.0674355,4.374,597.5,18.7,2.44,499.0,14.69,6004.0,4.484,0.977,1.0610202093521104,0.27474601371073637,1.0
