,Unnamed: 0,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,theo_depth,phys_depth_residual,theo_duration,phys_duration_residual,theo_radius_ratio,theo_distance_ratio,phys_impact_parameter_squared,phys_thermal,phys_thermal_residual,Target
0,0,5980783,CONFIRMED,37.3033197,7.793,551.7,19.5,2.31,493.0,14.0,5646.0,4.55,0.817,0.8637312676940772,0.2080744158241866,670.4727400757167,118.77274007571668,0.21681603195997867,7.576183968040022,0.02589259182433656,54.76539414841953,-1.1904143031331023,1.0020769679943333,-0.002076967994333323,1.0
1,1,10212441,CONFIRMED,15.0447098,5.823,97.9,23.4,1.51,931.0,177.24,5798.0,4.025,1.525,0.8984092524704834,0.115082184531148,82.22719691110993,15.672803088890078,0.29511147622165324,5.527888523778347,0.009067607339700315,16.22735898115095,0.3422918292650746,0.9975248860150844,0.0024751139849156223,1.0
2,2,8395660,CONFIRMED,43.84439721,6.802,615.2,83.7,2.87,531.0,18.77,5854.0,4.406,1.012,0.9512519358619524,0.2393143469944302,674.5343131157337,59.33431311573361,0.274452011231246,6.527547988768753,0.02597089915977368,50.85080274362779,-0.013778311888472894,0.9982674488668887,0.0017325511331113264,1.0
3,3,8478994,CONFIRMED,21.30181863,3.8763,87.3,32.4,0.72,564.0,23.89,5437.0,4.571,0.781,0.828393335592432,0.1412377539338369,71.2794275988137,16.0205724011863,0.17436425204981462,3.7019357479501855,0.008442422144297041,38.88744042377384,0.15893618702042767,0.9982985850294951,0.0017014149705049109,1.0
4,4,4833421,CONFIRMED,37.9962369,6.7751,403.7,37.8,2.39,618.0,34.55,6038.0,4.284,1.191,0.994851024587361,0.2208041459067527,337.73304631108914,65.96695368891085,0.3033791021872523,6.471720897812748,0.018376878382222475,39.866219379825,0.17125153197788956,1.0015090384710097,-0.0015090384710096938,1.0
5,5,5475736,FALSE POSITIVE,2.991885335,7.4319,1356.9,160.2,3.94,1209.0,505.77,5750.0,4.464,0.839,0.7472371412194653,0.0368731518614243,1849.5658597348283,492.66585973482825,0.10077137419345125,7.3311286258065484,0.043005090181933193,9.450567565254975,-8.354985564325652,1.000941241360239,-0.0009412413602389869,0.0
6,6,4852528,CONFIRMED,9.521644639,2.3569,1491.3,79.2,2.16,495.0,14.2,4041.0,4.697,0.567,0.5835803315050776,0.0734686979908724,1217.145962811792,274.1540371882079,0.10877603433649563,2.2481239656635044,0.034886411083047575,27.863064137333698,0.255922741005039,1.0000650970848817,-6.509708488167121e-05,1.0
7,7,7826659,CONFIRMED,211.032819,7.119,1953.4,69.3,3.43,215.0,0.5,4658.0,4.632,0.686,0.735500140464063,0.6261644426476866,2096.7241,143.32409999999982,0.34223644108446916,6.776763558915531,0.04578841454649993,196.2790180498487,0.3424605715222685,0.9894113462585276,0.010588653741472442,1.0
8,8,3218908,CONFIRMED,1.475323222,2.3155,154.9,27.2,5.88,2740.0,13331.51,4941.0,3.317,4.885,1.8057751187043392,0.0308844702006614,121.5141335222544,33.38586647774561,0.3454236968365271,1.970076303163473,0.011022963256230076,1.3595186757015336,0.9441551772470339,1.0000870719726154,-8.707197261537125e-05,1.0
9,9,3526331,FALSE POSITIVE,2.23755641,2.089,101.1,7.3,0.93,1397.0,897.8,6026.0,4.505,0.924,0.9960438792045884,0.0334351262601074,84.96170771209309,16.138292287906907,0.09153423025031089,1.9974657697496891,0.009217148382737,7.7810926497029484,0.11427172686002218,0.9966776013751231,0.003322398624876932,0.0
10,10,3937519,CONFIRMED,5.89661966,3.154,144.0,15.3,1.28,1000.0,237.1,5392.0,4.314,1.087,0.8879604380353062,0.061394212289625,116.2952909373892,27.704709062610803,0.15454172862700574,2.999458271372994,0.010783656047749755,12.145278492217605,0.29856528152564965,1.0025182231875,-0.002518223187500057,1.0
11,11,12004656,FALSE POSITIVE,2.52123022,4.739,145.9,8.9,9.68,726.0,65.58,3932.0,4.745,0.52,0.5482027576491608,0.0296699096101651,29063.32548932544,28917.42548932544,0.06540939942716031,4.673590600572839,0.17047378954235357,12.269375829769405,-7.743185009157038,0.9981266496663134,0.0018733503336866297,0.0
